scenario,component_type,component_index,component_name,eta_i,eta_j,observed_diag_i,observed_diag_j,observed_offdiag,reported_diag_i,reported_diag_j,reported_offdiag,status,maximum_underestimate_ratio
quadratic_chain,coupling,0,QuadraticCoupling,0.34160984821574786,0.19066309106821128,0.3,0.3,0.3,0.3,0.3,0.3,covered,1.0
quadratic_chain,coupling,1,QuadraticCoupling,0.19066309106821128,0.4296857260761766,0.35999999999958365,0.35999999999958365,0.35999999999958365,0.36,0.36,0.36,covered,0.9999999999988435
quadratic_chain,coupling,2,QuadraticCoupling,0.4296857260761766,0.483109575145866,0.4199999999998612,0.4199999999998612,0.4199999999998612,0.42,0.42,0.42,covered,0.9999999999996696
quadratic_chain,coupling,3,QuadraticCoupling,0.483109575145866,0.14404791436698228,0.3,0.3,0.3,0.3,0.3,0.3,covered,1.0
quadratic_chain,coupling,4,QuadraticCoupling,0.14404791436698228,0.24600688799924483,0.36000000000027754,0.36000000000027754,0.36000000000027754,0.36,0.36,0.36,covered,1.000000000000771
quadratic_chain,coupling,5,QuadraticCoupling,0.24600688799924483,0.5944708330443005,0.4200000000005551,0.420000000000111,0.42000000000033305,0.42,0.42,0.42,covered,1.0000000000013216
quadratic_chain,coupling,6,QuadraticCoupling,0.5944708330443005,0.7266779532527218,0.2999999999999306,0.2999999999999306,0.2999999999999306,0.3,0.3,0.3,covered,0.9999999999997687
quadratic_chain,coupling,7,QuadraticCoupling,0.7266779532527218,0.630784841995076,0.3600000000001943,0.3600000000001943,0.3600000000001943,0.36,0.36,0.36,covered,1.0000000000005398
quadratic_chain,coupling,8,QuadraticCoupling,0.630784841995076,0.12116615604539557,0.420000000000111,0.42000000000113796,0.4200000000006245,0.42,0.42,0.42,covered,1.0000000000027094
quadratic_chain,coupling,9,QuadraticCoupling,0.12116615604539557,0.025405546689315203,0.3000000000000694,0.2999999999999653,0.30000000000001736,0.3,0.3,0.3,covered,1.0000000000002314
quadratic_chain,coupling,10,QuadraticCoupling,0.025405546689315203,0.3005251295587762,0.36000000000065224,0.36000000000027754,0.3600000000004649,0.36,0.36,0.36,covered,1.0000000000018119
quadratic_chain,module,0,QuadraticWell,0.07064235988450622,,0.25000000000034694,,,0.25,,,covered,1.0000000000013878
quadratic_chain,module,1,QuadraticWell,0.7714467883261786,,0.34258774617989884,,,0.34258774618003096,,,covered,0.9999999999996143
quadratic_chain,module,2,QuadraticWell,0.5970030803466959,,0.46946545533074696,,,0.46946545533085315,,,covered,0.9999999999997738
quadratic_chain,module,3,QuadraticWell,0.37722531374195156,,0.6433324490046582,,,0.6433324490047159,,,covered,0.9999999999999104
quadratic_chain,module,4,QuadraticWell,0.04318517324283856,,0.8815912549972681,,,0.8815912549960212,,,covered,1.0000000000014144
quadratic_chain,module,5,QuadraticWell,0.731320775524112,,1.2080894444043724,,,1.2080894444044474,,,covered,0.9999999999999378
quadratic_chain,module,6,QuadraticWell,0.8436065399687896,,1.6555065597696124,,,1.6555065597696212,,,covered,0.9999999999999947
quadratic_chain,module,7,QuadraticWell,0.30221173243752925,,2.2686250443970173,,,2.268625044390925,,,covered,1.0000000000026856
quadratic_chain,module,8,QuadraticWell,0.5671390523581762,,3.1088125635378367,,,3.1088125635418384,,,covered,0.9999999999987128
quadratic_chain,module,9,QuadraticWell,0.8397539196577611,,4.260164357758293,,,4.260164357759851,,,covered,0.9999999999996343
quadratic_chain,module,10,QuadraticWell,0.8239106470823793,,5.8379204227287165,,,5.8379204227257855,,,covered,1.000000000000502
quadratic_chain,module,11,QuadraticWell,0.2550469854010255,,8.0,,,8.0,,,covered,1.0
quadratic_chain,coupling,0,QuadraticCoupling,0.07064235988450622,0.7714467883261786,0.3000000000004163,0.30000000000027754,0.30000000000034693,0.3,0.3,0.3,covered,1.0000000000013878
quadratic_chain,coupling,1,QuadraticCoupling,0.7714467883261786,0.5970030803466959,0.3600000000001943,0.3600000000001943,0.3600000000001943,0.36,0.36,0.36,covered,1.0000000000005398
quadratic_chain,coupling,2,QuadraticCoupling,0.5970030803466959,0.37722531374195156,0.420000000000111,0.4199999999998612,0.4199999999999861,0.42,0.42,0.42,covered,1.0000000000002642
quadratic_chain,coupling,3,QuadraticCoupling,0.37722531374195156,0.04318517324283856,0.3,0.30000000000020816,0.3000000000001041,0.3,0.3,0.3,covered,1.000000000000694
quadratic_chain,coupling,4,QuadraticCoupling,0.04318517324283856,0.731320775524112,0.36000000000052734,0.36000000000088817,0.36000000000070775,0.36,0.36,0.36,covered,1.0000000000024671
quadratic_chain,coupling,5,QuadraticCoupling,0.731320775524112,0.8436065399687896,0.420000000000111,0.420000000000111,0.420000000000111,0.42,0.42,0.42,covered,1.0000000000002642
quadratic_chain,coupling,6,QuadraticCoupling,0.8436065399687896,0.30221173243752925,0.29999999999888977,0.3,0.2999999999994449,0.3,0.3,0.3,covered,1.0
quadratic_chain,coupling,7,QuadraticCoupling,0.30221173243752925,0.5671390523581762,0.36000000000027754,0.3600000000001943,0.3600000000002359,0.36,0.36,0.36,covered,1.000000000000771
quadratic_chain,coupling,8,QuadraticCoupling,0.5671390523581762,0.8397539196577611,0.420000000000111,0.420000000000111,0.420000000000111,0.42,0.42,0.42,covered,1.0000000000002642
quadratic_chain,coupling,9,QuadraticCoupling,0.8397539196577611,0.8239106470823793,0.30000000000001736,0.30000000000001736,0.30000000000001736,0.3,0.3,0.3,covered,1.000000000000058
quadratic_chain,coupling,10,QuadraticCoupling,0.8239106470823793,0.2550469854010255,0.36000000000088817,0.36000000000027754,0.36000000000058285,0.36,0.36,0.36,covered,1.0000000000024671
quadratic_chain,module,0,QuadraticWell,0.36998860040037534,,0.25,,,0.25,,,covered,1.0
quadratic_chain,module,1,QuadraticWell,0.15496757552114665,,0.34258774617955834,,,0.34258774618003096,,,covered,0.9999999999986204
quadratic_chain,module,2,QuadraticWell,0.03210550578174463,,0.4694654553298544,,,0.46946545533085315,,,covered,0.9999999999978726
quadratic_chain,module,3,QuadraticWell,0.33109708125044757,,0.6433324490046582,,,0.6433324490047159,,,covered,0.9999999999999104
quadratic_chain,module,4,QuadraticWell,0.6724571742041303,,0.881591254995999,,,0.8815912549960212,,,covered,0.9999999999999748
quadratic_chain,module,5,QuadraticWell,0.12599207409506202,,1.2080894444032173,,,1.2080894444044474,,,covered,0.9999999999989817
quadratic_chain,module,6,QuadraticWell,0.3358357322524862,,1.6555065597706573,,,1.6555065597696212,,,covered,1.0000000000006257
quadratic_chain,module,7,QuadraticWell,0.44267986772150475,,2.268625044391466,,,2.268625044390925,,,covered,1.0000000000002387
quadratic_chain,module,8,QuadraticWell,0.25104176568435077,,3.108812563541396,,,3.1088125635418384,,,covered,0.9999999999998577
quadratic_chain,module,9,QuadraticWell,0.30186072343556924,,4.260164357756849,,,4.260164357759851,,,covered,0.9999999999992953
quadratic_chain,module,10,QuadraticWell,0.5920390413669191,,5.8379204227287165,,,5.8379204227257855,,,covered,1.000000000000502
quadratic_chain,module,11,QuadraticWell,0.18060182472127523,,8.0,,,8.0,,,covered,1.0
quadratic_chain,coupling,0,QuadraticCoupling,0.36998860040037534,0.15496757552114665,0.3,0.3,0.3,0.3,0.3,0.3,covered,1.0
quadratic_chain,coupling,1,QuadraticCoupling,0.15496757552114665,0.03210550578174463,0.3599999999999306,0.35999999999983345,0.359999999999882,0.36,0.36,0.36,covered,0.9999999999998073
quadratic_chain,coupling,2,QuadraticCoupling,0.03210550578174463,0.33109708125044757,0.41999999999945875,0.4199999999991673,0.41999999999931303,0.42,0.42,0.42,covered,0.9999999999987114
quadratic_chain,coupling,3,QuadraticCoupling,0.33109708125044757,0.6724571742041303,0.3,0.29999999999958366,0.2999999999997918,0.3,0.3,0.3,covered,1.0
quadratic_chain,coupling,4,QuadraticCoupling,0.6724571742041303,0.12599207409506202,0.3599999999995004,0.36000000000027754,0.35999999999988896,0.36,0.36,0.36,covered,1.000000000000771
quadratic_chain,coupling,5,QuadraticCoupling,0.12599207409506202,0.3358357322524862,0.4200000000005551,0.4200000000005551,0.4200000000005551,0.42,0.42,0.42,covered,1.0000000000013216
quadratic_chain,coupling,6,QuadraticCoupling,0.3358357322524862,0.44267986772150475,0.3,0.3,0.3,0.3,0.3,0.3,covered,1.0
quadratic_chain,coupling,7,QuadraticCoupling,0.44267986772150475,0.25104176568435077,0.35999999999958365,0.35999999999958365,0.35999999999958365,0.36,0.36,0.36,covered,0.9999999999988435
quadratic_chain,coupling,8,QuadraticCoupling,0.25104176568435077,0.30186072343556924,0.4199999999998612,0.4199999999998612,0.4199999999998612,0.42,0.42,0.42,covered,0.9999999999996696
quadratic_chain,coupling,9,QuadraticCoupling,0.30186072343556924,0.5920390413669191,0.3,0.29999999999958366,0.2999999999997918,0.3,0.3,0.3,covered,1.0
quadratic_chain,coupling,10,QuadraticCoupling,0.5920390413669191,0.18060182472127523,0.36000000000088817,0.35999999999888976,0.35999999999988896,0.36,0.36,0.36,covered,1.0000000000024671
quadratic_chain,module,0,QuadraticWell,0.8552030129445399,,0.25,,,0.25,,,covered,1.0
quadratic_chain,module,1,QuadraticWell,0.7923267417273703,,0.34258774617998555,,,0.34258774618003096,,,covered,0.9999999999998674
quadratic_chain,module,2,QuadraticWell,0.25868673072594767,,0.46946545533091644,,,0.46946545533085315,,,covered,1.0000000000001348
quadratic_chain,module,3,QuadraticWell,0.4951694877240097,,0.6433324490039644,,,0.6433324490047159,,,covered,0.9999999999988318
quadratic_chain,module,4,QuadraticWell,0.6366416595671306,,0.881591254995999,,,0.8815912549960212,,,covered,0.9999999999999748
quadratic_chain,module,5,QuadraticWell,0.6595141657205349,,1.2080894444043724,,,1.2080894444044474,,,covered,0.9999999999999378
quadratic_chain,module,6,QuadraticWell,0.1281179662165055,,1.6555065597706573,,,1.6555065597696212,,,covered,1.0000000000006257
quadratic_chain,module,7,QuadraticWell,0.7261874938593624,,2.2686250443908755,,,2.268625044390925,,,covered,0.9999999999999782
quadratic_chain,module,8,QuadraticWell,0.8627892161410932,,3.1088125635267345,,,3.1088125635418384,,,covered,0.9999999999951416
quadratic_chain,module,9,QuadraticWell,0.5331024504480808,,4.260164357759681,,,4.260164357759851,,,covered,0.9999999999999601
quadratic_chain,module,10,QuadraticWell,0.8281217685309107,,5.8379204227287165,,,5.8379204227257855,,,covered,1.000000000000502
quadratic_chain,module,11,QuadraticWell,0.9624943187573874,,8.0,,,8.0,,,covered,1.0
quadratic_chain,coupling,0,QuadraticCoupling,0.8552030129445399,0.7923267417273703,0.3000000000001041,0.3000000000001041,0.3000000000001041,0.3,0.3,0.3,covered,1.000000000000347
quadratic_chain,coupling,1,QuadraticCoupling,0.7923267417273703,0.25868673072594767,0.36000000000088817,0.36000000000027754,0.36000000000058285,0.36,0.36,0.36,covered,1.0000000000024671
quadratic_chain,coupling,2,QuadraticCoupling,0.25868673072594767,0.4951694877240097,0.4199999999998612,0.4199999999998612,0.4199999999998612,0.42,0.42,0.42,covered,0.9999999999996696
quadratic_chain,coupling,3,QuadraticCoupling,0.4951694877240097,0.6366416595671306,0.3,0.2999999999999306,0.2999999999999653,0.3,0.3,0.3,covered,1.0
quadratic_chain,coupling,4,QuadraticCoupling,0.6366416595671306,0.6595141657205349,0.3600000000000208,0.3600000000000208,0.3600000000000208,0.36,0.36,0.36,covered,1.0000000000000577
quadratic_chain,coupling,5,QuadraticCoupling,0.6595141657205349,0.1281179662165055,0.420000000000111,0.41999999999777954,0.4199999999989453,0.42,0.42,0.42,covered,1.0000000000002642
quadratic_chain,coupling,6,QuadraticCoupling,0.1281179662165055,0.7261874938593624,0.30000000000138777,0.30000000000027754,0.30000000000083266,0.3,0.3,0.3,covered,1.0000000000046259
quadratic_chain,coupling,7,QuadraticCoupling,0.7261874938593624,0.8627892161410932,0.3600000000001943,0.3600000000001943,0.3600000000001943,0.36,0.36,0.36,covered,1.0000000000005398
quadratic_chain,coupling,8,QuadraticCoupling,0.8627892161410932,0.5331024504480808,0.420000000000111,0.420000000000111,0.420000000000111,0.42,0.42,0.42,covered,1.0000000000002642
quadratic_chain,coupling,9,QuadraticCoupling,0.5331024504480808,0.8281217685309107,0.30000000000027754,0.30000000000027754,0.30000000000027754,0.3,0.3,0.3,covered,1.0000000000009253
quadratic_chain,coupling,10,QuadraticCoupling,0.8281217685309107,0.9624943187573874,0.35999999999984733,0.35999999999984733,0.35999999999984733,0.36,0.36,0.36,covered,0.999999999999576
quadratic_chain,module,0,QuadraticWell,0.3805214568983474,,0.25,,,0.25,,,covered,1.0
quadratic_chain,module,1,QuadraticWell,0.7369855953545984,,0.3425877461800723,,,0.34258774618003096,,,covered,1.0000000000001208
quadratic_chain,module,2,QuadraticWell,0.7392103736073835,,0.46946545533074696,,,0.46946545533085315,,,covered,0.9999999999997738
quadratic_chain,module,3,QuadraticWell,0.7269127922982315,,0.6433324490047599,,,0.6433324490047159,,,covered,1.0000000000000686
quadratic_chain,module,4,QuadraticWell,0.07473751878048414,,0.8815912549978798,,,0.8815912549960212,,,covered,1.0000000000021083
quadratic_chain,module,5,QuadraticWell,0.858805053240962,,1.2080894444043724,,,1.2080894444044474,,,covered,0.9999999999999378
quadratic_chain,module,6,QuadraticWell,0.5483139994716928,,1.6555065597687448,,,1.6555065597696212,,,covered,0.9999999999994706
quadratic_chain,module,7,QuadraticWell,0.22835772271180316,,2.268625044385915,,,2.268625044390925,,,covered,0.9999999999977918
quadratic_chain,module,8,QuadraticWell,0.940766390102131,,3.1088125635267345,,,3.1088125635418384,,,covered,0.9999999999951416
quadratic_chain,module,9,QuadraticWell,0.023357514778233543,,4.260164357772385,,,4.260164357759851,,,covered,1.000000000002942
quadratic_chain,module,10,QuadraticWell,0.3815848852695231,,5.837920422729616,,,5.8379204227257855,,,covered,1.0000000000006561
quadratic_chain,module,11,QuadraticWell,0.3491298943888455,,8.0,,,8.0,,,covered,1.0
quadratic_chain,coupling,0,QuadraticCoupling,0.3805214568983474,0.7369855953545984,0.3,0.29999999999958366,0.2999999999997918,0.3,0.3,0.3,covered,1.0
quadratic_chain,coupling,1,QuadraticCoupling,0.7369855953545984,0.7392103736073835,0.35999999999999915,0.35999999999999915,0.35999999999999915,0.36,0.36,0.36,covered,0.9999999999999977
quadratic_chain,coupling,2,QuadraticCoupling,0.7392103736073835,0.7269127922982315,0.4200000000000243,0.4200000000000243,0.4200000000000243,0.42,0.42,0.42,covered,1.000000000000058
quadratic_chain,coupling,3,QuadraticCoupling,0.7269127922982315,0.07473751878048414,0.29999999999888977,0.3000000000004163,0.29999999999965304,0.3,0.3,0.3,covered,1.0000000000013878
quadratic_chain,coupling,4,QuadraticCoupling,0.07473751878048414,0.858805053240962,0.35999999999938936,0.3599999999981126,0.359999999998751,0.36,0.36,0.36,covered,0.9999999999983038
quadratic_chain,coupling,5,QuadraticCoupling,0.858805053240962,0.5483139994716928,0.420000000000111,0.420000000000111,0.420000000000111,0.42,0.42,0.42,covered,1.0000000000002642
quadratic_chain,coupling,6,QuadraticCoupling,0.5483139994716928,0.22835772271180316,0.30000000000027754,0.3,0.30000000000013877,0.3,0.3,0.3,covered,1.0000000000009253
quadratic_chain,coupling,7,QuadraticCoupling,0.22835772271180316,0.940766390102131,0.3600000000016653,0.36000000000088817,0.36000000000127674,0.36,0.36,0.36,covered,1.0000000000046259
quadratic_chain,coupling,8,QuadraticCoupling,0.940766390102131,0.023357514778233543,0.420000000000111,0.42000000000099225,0.4200000000005516,0.42,0.42,0.42,covered,1.0000000000023626
quadratic_chain,coupling,9,QuadraticCoupling,0.023357514778233543,0.3815848852695231,0.30000000000031224,0.3,0.30000000000015614,0.3,0.3,0.3,covered,1.000000000001041
quadratic_chain,coupling,10,QuadraticCoupling,0.3815848852695231,0.3491298943888455,0.36000000000001736,0.36000000000001736,0.36000000000001736,0.36,0.36,0.36,covered,1.0000000000000482
